Label (Grouping),Connecticut!!Total!!Estimate,Connecticut!!Total!!Margin of Error,Connecticut!!Below poverty level!!Estimate,Connecticut!!Below poverty level!!Margin of Error,Connecticut!!Percent below poverty level!!Estimate,Connecticut!!Percent below poverty level!!Margin of Error,Maine!!Total!!Estimate,Maine!!Total!!Margin of Error,Maine!!Below poverty level!!Estimate,Maine!!Below poverty level!!Margin of Error,Maine!!Percent below poverty level!!Estimate,Maine!!Percent below poverty level!!Margin of Error,Massachusetts!!Total!!Estimate,Massachusetts!!Total!!Margin of Error,Massachusetts!!Below poverty level!!Estimate,Massachusetts!!Below poverty level!!Margin of Error,Massachusetts!!Percent below poverty level!!Estimate,Massachusetts!!Percent below poverty level!!Margin of Error,New Hampshire!!Total!!Estimate,New Hampshire!!Total!!Margin of Error,New Hampshire!!Below poverty level!!Estimate,New Hampshire!!Below poverty level!!Margin of Error,New Hampshire!!Percent below poverty level!!Estimate,New Hampshire!!Percent below poverty level!!Margin of Error,New Jersey!!Total!!Estimate,New Jersey!!Total!!Margin of Error,New Jersey!!Below poverty level!!Estimate,New Jersey!!Below poverty level!!Margin of Error,New Jersey!!Percent below poverty level!!Estimate,New Jersey!!Percent below poverty level!!Margin of Error,New York!!Total!!Estimate,New York!!Total!!Margin of Error,New York!!Below poverty level!!Estimate,New York!!Below poverty level!!Margin of Error,New York!!Percent below poverty level!!Estimate,New York!!Percent below poverty level!!Margin of Error,Pennsylvania!!Total!!Estimate,Pennsylvania!!Total!!Margin of Error,Pennsylvania!!Below poverty level!!Estimate,Pennsylvania!!Below poverty level!!Margin of Error,Pennsylvania!!Percent below poverty level!!Estimate,Pennsylvania!!Percent below poverty level!!Margin of Error,Rhode Island!!Total!!Estimate,Rhode Island!!Total!!Margin of Error,Rhode Island!!Below poverty level!!Estimate,Rhode Island!!Below poverty level!!Margin of Error,Rhode Island!!Percent below poverty level!!Estimate,Rhode Island!!Percent below poverty level!!Margin of Error,Vermont!!Total!!Estimate,Vermont!!Total!!Margin of Error,Vermont!!Below poverty level!!Estimate,Vermont!!Below poverty level!!Margin of Error,Vermont!!Percent below poverty level!!Estimate,Vermont!!Percent below poverty level!!Margin of Error
            Employed,"1,828,827","±7,022","75,447","±2,577",4.1%,±0.1,"682,102","±4,010","28,602","±1,411",4.2%,±0.2,"3,650,517","±8,389","145,460","±3,786",4.0%,±0.1,"741,734","±4,029","21,389","±1,306",2.9%,±0.2,"4,664,475","±10,446","185,917","±4,367",4.0%,±0.1,"9,444,746","±18,036","500,874","±7,598",5.3%,±0.1,"6,252,977","±15,309","301,727","±5,166",4.8%,±0.1,"551,148","±3,866","23,724","±1,650",4.3%,±0.3,"333,206","±2,389","14,640",±928,4.4%,±0.3
                Male,"945,250","±4,341","30,088","±1,720",3.2%,±0.2,"349,715","±2,750","11,807",±844,3.4%,±0.2,"1,864,863","±5,630","61,366","±2,320",3.3%,±0.1,"389,647","±2,689","7,865",±662,2.0%,±0.2,"2,440,148","±7,133","80,914","±2,981",3.3%,±0.1,"4,837,477","±10,327","215,222","±4,269",4.4%,±0.1,"3,265,596","±8,515","126,900","±2,470",3.9%,±0.1,"285,853","±2,779","10,179","±1,123",3.6%,±0.4,"170,282","±1,627","6,310",±611,3.7%,±0.4
                Female,"883,577","±4,774","45,359","±1,876",5.1%,±0.2,"332,387","±2,441","16,795","±1,015",5.1%,±0.3,"1,785,654","±6,318","84,094","±2,684",4.7%,±0.1,"352,087","±2,786","13,524","±1,025",3.8%,±0.3,"2,224,327","±7,263","105,003","±2,817",4.7%,±0.1,"4,607,269","±12,485","285,652","±5,440",6.2%,±0.1,"2,987,381","±10,257","174,827","±4,339",5.9%,±0.1,"265,295","±2,340","13,545","±1,337",5.1%,±0.5,"162,924","±1,512","8,330",±732,5.1%,±0.5
            Unemployed,"107,012","±3,784","25,404","±1,851",23.7%,±1.4,"26,592","±1,454","7,031",±627,26.4%,±2.0,"195,770","±3,997","43,466","±2,223",22.2%,±1.0,"25,191","±1,500","4,011",±534,15.9%,±2.0,"313,063","±4,718","68,229","±2,668",21.8%,±0.8,"638,264","±6,654","181,676","±4,267",28.5%,±0.6,"343,015","±5,565","95,344","±3,453",27.8%,±0.8,"33,491","±1,933","8,533","±1,109",25.5%,±2.9,"12,016",±779,"3,063",±421,25.5%,±2.8
                Male,"59,050","±2,471","13,260","±1,208",22.5%,±1.8,"15,131","±1,041","4,028",±442,26.6%,±2.4,"106,668","±3,129","20,647","±1,607",19.4%,±1.3,"14,482","±1,102","2,046",±376,14.1%,±2.6,"163,284","±3,414","32,462","±1,561",19.9%,±0.9,"347,650","±4,813","90,705","±2,639",26.1%,±0.7,"185,198","±4,092","47,359","±2,292",25.6%,±1.0,"17,790","±1,253","3,870",±627,21.8%,±3.2,"6,929",±631,"1,672",±343,24.1%,±4.1
                Female,"47,962","±2,265","12,144","±1,157",25.3%,±2.0,"11,461",±816,"3,003",±403,26.2%,±3.1,"89,102","±2,381","22,819","±1,403",25.6%,±1.5,"10,709",±921,"1,965",±347,18.3%,±3.0,"149,779","±3,313","35,767","±1,939",23.9%,±1.1,"290,614","±4,506","90,971","±3,004",31.3%,±0.8,"157,817","±3,432","47,985","±2,391",30.4%,±1.3,"15,701","±1,232","4,663",±696,29.7%,±3.9,"5,087",±503,"1,391",±280,27.3%,±4.4
    WORK EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Population 16 years and over,"2,899,161","±1,294","271,267","±6,191",9.4%,±0.2,"1,133,863",±732,"116,967","±2,916",10.3%,±0.3,"5,641,129","±2,034","545,382","±7,131",9.7%,±0.1,"1,138,252",±877,"81,324","±2,794",7.1%,±0.2,"7,410,163","±2,727","660,003","±9,766",8.9%,±0.1,"15,841,482","±3,468","2,059,847","±19,095",13.0%,±0.1,"10,296,864","±2,663","1,108,312","±12,496",10.8%,±0.1,"881,687",±802,"93,355","±3,160",10.6%,±0.4,"525,182",±552,"52,033","±2,039",9.9%,±0.4
"            Worked full-time, year-round in the past 12 months","1,301,212","±6,251","17,864","±1,060",1.4%,±0.1,"478,920","±3,561","6,923",±673,1.4%,±0.1,"2,592,189","±9,890","31,504","±1,628",1.2%,±0.1,"535,976","±4,077","4,666",±467,0.9%,±0.1,"3,400,558","±10,190","53,398","±2,098",1.6%,±0.1,"6,776,985","±15,975","134,436","±3,509",2.0%,±0.1,"4,561,376","±15,119","83,083","±2,641",1.8%,±0.1,"398,064","±3,669","5,908",±885,1.5%,±0.2,"229,082","±2,296","3,250",±438,1.4%,±0.2
            Worked part-time or part-year in the past 12 months,"696,615","±6,444","80,894","±3,069",11.6%,±0.4,"273,060","±3,489","32,254","±1,287",11.8%,±0.5,"1,392,084","±8,732","159,450","±3,973",11.5%,±0.3,"270,691","±3,846","23,602","±1,401",8.7%,±0.5,"1,687,155","±10,293","185,412","±4,187",11.0%,±0.2,"3,582,722","±16,986","523,245","±7,998",14.6%,±0.2,"2,274,526","±11,443","318,369","±5,711",14.0%,±0.2,"207,369","±3,380","25,368","±1,565",12.2%,±0.7,"137,620","±1,872","17,051","±1,066",12.4%,±0.7
            Did not work,"901,334","±6,185","172,509","±4,783",19.1%,±0.5,"381,883","±3,634","77,790","±2,110",20.4%,±0.5,"1,656,856","±8,355","354,428","±5,537",21.4%,±0.3,"331,585","±3,661","53,056","±2,278",16.0%,±0.6,"2,322,450","±9,209","421,193","±7,208",18.1%,±0.3,"5,481,775","±18,632","1,402,166","±14,360",25.6%,±0.2,"3,460,962","±13,989","706,860","±9,880",20.4%,±0.2,"276,254","±3,514","62,079","±2,700",22.5%,±0.9,"158,480","±2,111","31,732","±1,618",20.0%,±1.0
    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        50 percent of poverty level,"179,941","±6,432",(X),(X),(X),(X),"64,795","±2,548",(X),(X),(X),(X),"335,932","±8,205",(X),(X),(X),(X),"49,864","±2,602",(X),(X),(X),(X),"423,557","±11,205",(X),(X),(X),(X),"1,349,608","±18,165",(X),(X),(X),(X),"712,218","±11,750",(X),(X),(X),(X),"59,860","±3,188",(X),(X),(X),(X),"29,594","±1,933",(X),(X),(X),(X)
        125 percent of poverty level,"449,480","±9,424",(X),(X),(X),(X),"190,601","±4,754",(X),(X),(X),(X),"867,025","±11,962",(X),(X),(X),(X),"125,248","±4,300",(X),(X),(X),(X),"1,139,038","±16,843",(X),(X),(X),(X),"3,420,661","±33,336",(X),(X),(X),(X),"1,901,468","±20,315",(X),(X),(X),(X),"149,565","±5,226",(X),(X),(X),(X),"82,718","±2,916",(X),(X),(X),(X)
        150 percent of poverty level,"553,133","±10,075",(X),(X),(X),(X),"241,033","±5,396",(X),(X),(X),(X),"1,060,366","±13,644",(X),(X),(X),(X),"159,872","±5,059",(X),(X),(X),(X),"1,415,836","±19,438",(X),(X),(X),(X),"4,127,279","±35,074",(X),(X),(X),(X),"2,371,480","±22,399",(X),(X),(X),(X),"184,881","±6,016",(X),(X),(X),(X),"102,621","±2,908",(X),(X),(X),(X)
        185 percent of poverty level,"705,112","±10,404",(X),(X),(X),(X),"315,576","±5,903",(X),(X),(X),(X),"1,317,393","±15,834",(X),(X),(X),(X),"212,442","±5,653",(X),(X),(X),(X),"1,813,294","±21,665",(X),(X),(X),(X),"5,075,490","±39,502",(X),(X),(X),(X),"3,043,880","±25,824",(X),(X),(X),(X),"234,404","±6,372",(X),(X),(X),(X),"132,412","±3,252",(X),(X),(X),(X)
        200 percent of poverty level,"775,800","±11,098",(X),(X),(X),(X),"350,820","±5,958",(X),(X),(X),(X),"1,434,158","±16,581",(X),(X),(X),(X),"237,949","±5,957",(X),(X),(X),(X),"1,990,700","±22,303",(X),(X),(X),(X),"5,503,837","±39,696",(X),(X),(X),(X),"3,350,750","±27,922",(X),(X),(X),(X),"257,352","±6,412",(X),(X),(X),(X),"148,730","±3,319",(X),(X),(X),(X)
        300 percent of poverty level,"1,229,425","±15,239",(X),(X),(X),(X),"574,768","±6,868",(X),(X),(X),(X),"2,234,688","±17,487",(X),(X),(X),(X),"418,811","±6,779",(X),(X),(X),(X),"3,140,261","±24,805",(X),(X),(X),(X),"8,129,881","±44,898",(X),(X),(X),(X),"5,321,451","±32,095",(X),(X),(X),(X),"407,717","±7,153",(X),(X),(X),(X),"245,731","±3,771",(X),(X),(X),(X)
        400 percent of poverty level,"1,644,396","±14,627",(X),(X),(X),(X),"785,500","±6,226",(X),(X),(X),(X),"3,009,264","±19,927",(X),(X),(X),(X),"603,395","±7,721",(X),(X),(X),(X),"4,207,860","±26,170",(X),(X),(X),(X),"10,499,776","±45,954",(X),(X),(X),(X),"7,116,550","±30,751",(X),(X),(X),(X),"554,565","±7,917",(X),(X),(X),(X),"336,440","±4,025",(X),(X),(X),(X)
        500 percent of poverty level,"2,030,806","±12,721",(X),(X),(X),(X),"943,009","±5,956",(X),(X),(X),(X),"3,728,211","±21,419",(X),(X),(X),(X),"778,733","±7,827",(X),(X),(X),(X),"5,182,447","±24,895",(X),(X),(X),(X),"12,483,133","±40,691",(X),(X),(X),(X),"8,588,699","±26,632",(X),(X),(X),(X),"674,850","±7,698",(X),(X),(X),(X),"415,729","±4,109",(X),(X),(X),(X)
UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED,"720,507","±7,634","151,295","±3,796",21.0%,±0.5,"330,569","±4,432","74,998","±2,431",22.7%,±0.7,"1,538,643","±10,977","327,167","±4,520",21.3%,±0.3,"292,390","±4,050","52,376","±1,982",17.9%,±0.6,"1,600,191","±9,443","328,757","±5,644",20.5%,±0.3,"4,374,937","±18,228","1,088,462","±9,674",24.9%,±0.2,"2,694,712","±13,242","616,834","±7,649",22.9%,±0.2,"248,038","±3,986","58,881","±2,314",23.7%,±0.9,"165,579","±2,485","35,664","±1,564",21.5%,±0.9
    Male,"342,838","±5,192","65,338","±2,402",19.1%,±0.6,"157,297","±2,978","32,753","±1,544",20.8%,±0.9,"733,124","±6,977","142,696","±3,176",19.5%,±0.4,"144,261","±2,503","21,555","±1,299",14.9%,±0.8,"767,936","±7,001","137,639","±4,048",17.9%,±0.5,"2,101,309","±11,768","486,937","±5,408",23.2%,±0.2,"1,301,773","±8,383","269,713","±4,937",20.7%,±0.3,"118,486","±2,893","24,734","±1,534",20.9%,±1.2,"80,289","±1,529","16,006",±938,19.9%,±1.1
    Female,"377,669","±4,480","85,957","±2,752",22.8%,±0.6,"173,272","±2,648","42,245","±1,579",24.4%,±0.8,"805,519","±7,366","184,471","±3,976",22.9%,±0.4,"148,129","±2,687","30,821","±1,406",20.8%,±0.9,"832,255","±6,177","191,118","±4,023",23.0%,±0.4,"2,273,628","±11,518","601,525","±7,034",26.5%,±0.3,"1,392,939","±8,390","347,121","±5,768",24.9%,±0.4,"129,552","±2,276","34,147","±1,729",26.4%,±1.2,"85,290","±1,653","19,658","±1,271",23.0%,±1.4
    15 years,989,±252,989,±252,100.0%,±4.2,288,±82,286,±82,99.3%,±1.2,"1,064",±244,"1,031",±244,96.9%,±3.6,420,±164,420,±164,100.0%,±8.0,"1,886",±344,"1,853",±346,98.3%,±2.1,"4,658",±547,"4,486",±542,96.3%,±2.0,"2,527",±436,"2,436",±426,96.4%,±3.9,239,±150,220,±147,92.1%,±16.0,120,±67,120,±67,100.0%,±18.7
    16 to 17 years,"1,950",±390,"1,845",±386,94.6%,±4.6,"1,078",±270,"1,035",±261,96.0%,±4.4,"2,967",±374,"2,731",±358,92.0%,±3.6,908,±270,846,±283,93.2%,±9.7,"4,713",±559,"4,567",±538,96.9%,±2.2,"10,853",±937,"10,461",±927,96.4%,±1.3,"6,178",±533,"5,886",±527,95.3%,±2.1,590,±217,556,±209,94.2%,±10.1,466,±183,434,±181,93.1%,±8.8
    18 to 24 years,"52,491","±2,131","21,849","±1,264",41.6%,±2.2,"28,936","±1,239","10,530",±944,36.4%,±2.9,"142,614","±3,116","55,750","±1,865",39.1%,±1.2,"24,323","±1,387","8,221",±866,33.8%,±2.9,"90,093","±2,963","38,734","±2,278",43.0%,±1.8,"341,458","±4,570","148,574","±4,079",43.5%,±0.9,"236,033","±4,499","105,396","±3,267",44.7%,±0.9,"22,673","±1,571","10,673","±1,164",47.1%,±3.3,"18,923",±937,"8,065",±809,42.6%,±3.6
    25 to 34 years,"152,094","±2,920","23,099","±1,523",15.2%,±0.9,"60,648","±2,000","10,842",±984,17.9%,±1.5,"390,144","±5,182","52,107","±2,042",13.4%,±0.5,"60,831","±2,095","7,010",±759,11.5%,±1.2,"337,183","±4,418","48,729","±2,138",14.5%,±0.6,"1,009,154","±10,185","174,278","±4,070",17.3%,±0.4,"553,454","±5,970","88,766","±2,786",16.0%,±0.5,"55,034","±2,006","7,916","±1,093",14.4%,±1.8,"32,102","±1,185","4,915",±469,15.3%,±1.4
    35 to 44 years,"84,150","±2,901","15,665","±1,063",18.6%,±1.2,"35,863","±1,403","7,065",±647,19.7%,±1.7,"183,283","±3,919","31,928","±1,585",17.4%,±0.7,"33,123","±1,664","5,097",±621,15.4%,±1.7,"206,112","±4,369","35,562","±1,756",17.3%,±0.8,"584,833","±7,804","122,715","±3,024",21.0%,±0.5,"311,281","±4,953","62,430","±2,379",20.1%,±0.7,"29,807","±1,704","5,947",±741,20.0%,±2.2,"18,487",±897,"2,990",±409,16.2%,±2.0
    45 to 54 years,"81,194","±2,417","16,969","±1,287",20.9%,±1.4,"37,328","±1,460","9,219",±765,24.7%,±1.8,"162,734","±4,035","32,493","±1,682",20.0%,±0.8,"32,002","±1,369","5,561",±581,17.4%,±1.7,"194,832","±4,008","37,272","±1,887",19.1%,±0.9,"517,171","±6,137","126,120","±2,797",24.4%,±0.5,"300,580","±4,825","68,254","±2,462",22.7%,±0.7,"26,589","±1,545","6,619",±749,24.9%,±2.5,"18,372",±963,"4,475",±572,24.4%,±2.9
    55 to 64 years,"123,997","±3,176","28,984","±1,553",23.4%,±1.1,"61,104","±1,874","15,117",±948,24.7%,±1.6,"236,299","±4,213","58,708","±2,201",24.8%,±0.9,"52,772","±1,828","10,769",±908,20.4%,±1.6,"269,276","±4,312","59,678","±2,381",22.2%,±0.7,"691,156","±5,837","199,874","±3,815",28.9%,±0.5,"447,101","±5,285","116,639","±3,551",26.1%,±0.7,"42,694","±1,679","11,061",±933,25.9%,±2.0,"27,194","±1,097","5,744",±478,21.1%,±1.7
    65 to 74 years,"116,247","±2,783","22,221","±1,336",19.1%,±1.0,"56,763","±1,676","10,858",±737,19.1%,±1.2,"218,680","±3,847","46,618","±1,612",21.3%,±0.7,"48,443","±1,634","7,698",±728,15.9%,±1.4,"250,751","±3,945","50,897","±2,042",20.3%,±0.8,"634,208","±6,636","156,653","±3,567",24.7%,±0.5,"434,457","±5,381","86,240","±2,368",19.9%,±0.5,"37,788","±1,398","8,381",±760,22.2%,±1.8,"26,570",±797,"4,920",±529,18.5%,±1.9
    75 years and over,"107,395","±2,326","19,674","±1,144",18.3%,±1.0,"48,561","±1,250","10,046",±720,20.7%,±1.3,"200,858","±2,767","45,801","±1,471",22.8%,±0.7,"39,568","±1,290","6,754",±594,17.1%,±1.4,"245,345","±3,229","51,465","±1,907",21.0%,±0.7,"581,446","±5,761","145,301","±3,619",25.0%,±0.5,"403,101","±4,114","80,787","±2,079",20.0%,±0.5,"32,624","±1,203","7,508",±651,23.0%,±1.9,"23,345",±875,"4,001",±428,17.1%,±1.7
    Mean income deficit for unrelated individuals (dollars),"8,659",±126,(X),(X),(X),(X),"7,717",±144,(X),(X),(X),(X),"8,379",±86,(X),(X),(X),(X),"8,333",±190,(X),(X),(X),(X),"8,791",±92,(X),(X),(X),(X),"8,972",±53,(X),(X),(X),(X),"8,397",±56,(X),(X),(X),(X),"8,123",±230,(X),(X),(X),(X),"7,937",±234,(X),(X),(X),(X)
"    Worked full-time, year-round in the past 12 months","311,671","±5,081","7,058",±742,2.3%,±0.2,"129,568","±3,021","3,339",±486,2.6%,±0.4,"698,714","±7,729","14,345","±1,036",2.1%,±0.1,"136,928","±3,018","2,655",±409,1.9%,±0.3,"729,322","±7,357","18,554","±1,596",2.5%,±0.2,"1,856,911","±13,958","47,423","±2,291",2.6%,±0.1,"1,140,239","±10,190","33,787","±1,675",3.0%,±0.1,"104,180","±3,199","2,732",±618,2.6%,±0.6,"67,785","±1,872","1,935",±335,2.9%,±0.5
"    Worked less than full-time, year-round in the past 12 months","148,448","±3,411","41,135","±1,867",27.7%,±1.2,"74,158","±2,011","19,881","±1,054",26.8%,±1.2,"333,468","±5,411","88,920","±2,660",26.7%,±0.7,"60,990","±1,907","15,536","±1,052",25.5%,±1.4,"308,008","±4,691","80,377","±2,517",26.1%,±0.7,"901,823","±9,045","255,515","±4,830",28.3%,±0.4,"535,410","±6,212","172,943","±3,987",32.3%,±0.6,"53,088","±2,293","15,197","±1,259",28.6%,±2.0,"41,204","±1,627","12,263",±999,29.8%,±2.0
    Did not work,"260,388","±4,503","103,102","±3,218",39.6%,±0.9,"126,843","±2,722","51,778","±1,874",40.8%,±1.0,"506,461","±6,086","223,902","±4,058",44.2%,±0.6,"94,472","±2,548","34,185","±1,675",36.2%,±1.2,"562,861","±5,552","229,826","±4,394",40.8%,±0.6,"1,616,203","±9,753","785,524","±8,093",48.6%,±0.4,"1,019,063","±7,693","410,104","±6,347",40.2%,±0.5,"90,770","±2,002","40,952","±2,005",45.1%,±1.7,"56,590","±1,510","21,466","±1,149",37.9%,±1.6
    Population in housing units for whom poverty status is determined,"3,514,203","±1,020","344,867","±8,521",9.8%,±0.2,"1,342,370",±569,"141,199","±3,993",10.5%,±0.3,"6,783,807","±1,382","661,988","±9,800",9.8%,±0.1,"1,350,042",±563,"95,013","±3,680",7.0%,±0.3,"9,151,733","±2,077","874,385","±14,232",9.6%,±0.2,"19,166,593","±3,455","2,574,117","±28,889",13.4%,±0.2,"12,553,794","±2,377","1,444,061","±18,637",11.5%,±0.1,"1,054,491",±556,"114,074","±4,220",10.8%,±0.4,"620,662",±294,"60,293","±2,512",9.7%,±0.4
